,,,,,,,,,,,,,,,,,,,
,,,,,,,QUOTATION,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,NO: DC-3916/March/2023,,,,,,,,,,,,
,,,,,,Date:,28/3/2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Mobile:020 98422420, 020 22242175, 020 22218484",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Telephone/Fax: 021 261118,,,,,,,,,,,,,,,,,,
,Email: kittiphanhsoubin@gmail.com,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Attention to: Mr.Bounmee,,,,,,,,,,,,,,,,,,
,Office:  Luenam Office,,,,,,,,,,,,,,,,,,
,Contact number:,,,,,,,,,LAK 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,ITEM,MODEL/DESCRITION,,,QUANTITY,UNIT PRICE ,Sub-Total,,,Buy(baht),shipping,SUB,total in kip,Interest,sub-interest,subtotal,Sale,$,THB
,1 ,Domain name hosting / ຄ່າຈົດໂດເມນ ເຊົ່າໂດເມນ ຈ່າຍເປັນ ລາຍປີ,,,1,LAK 120,LAK 120,,,"  10,600 ",,"  10,600.00 ","  3,392,000 ","  339,200.00 ","  339,200.00 ","  3,731,200 ",,  466.40 ,"  16,790 "
,2 ,"Website hosting / ຄ່າພື້ນທີ່ ເກັບໄວໄຊ້ ຈ່າຍເປັນ ລາຍປີ
(Basic) 3 cores / 4GB RAM / 100 GB SSD",,,1,LAK 140,LAK 140,,,"  5,450 ",,"  5,450.00 ","  1,744,000 ","  174,400.00 ","  174,400.00 ","  1,918,400 ",,  239.80 ,"  8,633 "
,3 ,Website - development / ຄ່າພັດທະນາເວັບໄຊ້,,,1,LAK 400,LAK 400,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   
,4 ,Website - deployment / ຄ່າຕິດຕັ້ງເວັບໄຊ້,,,1,LAK 70,LAK 70,,,,,  -   ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   
,,,,,,,,,,"  6,800 ",,"  6,800.00 ","  2,176,000 ","  217,600.00 ",  -   ,"  2,393,600 ",,  299.20 ,"  10,771 "
,Total,,,,,LAK 730,,,,,  -   ,  -   ,  -   ,,,,, LAK  -   , LAK  -   
,VAT 7%,,,,,LAK 51,,,,,  -   ,  -   ,  -   ,, LAK  -   ,, LAK  -   , LAK  -   , LAK  -   
,Total,,,,,LAK 781,,,,,  -   ,  -   ,  -   ,,,,, LAK  -   , LAK  -   
,,"This quotation is valid for 30 days
Delivery in maximum 15 days after confirmation of order",,,,,,,,,  -   ,  -   ,,,,,,,
,,,,,,,Sale Manager,,,,  -   ,,,,,,,,
,,Confirmed and Accepted by Customer,,,,,,,,,  -   ,,,,747000,,,,
,,,,,,,,,,65,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Thippha-aksone,,,,,,,,,,,,
,,,,,,,,,,15800,,,,,,,,,
,,-----------------------------------------------------------------------------,,,,, Email: sales@dcomlao.com,,,,,,,,,,,,
,,Name/signature/company stamp,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,"1,203,000.00","2,099,000.00",,,,,,,,,,,,,,
,,100,,"896,000.00",,,"268,800.00",,,obee,,,,,,,,,
,,30,,,,,"313,600.00",,,tui and bae each,,,,,,,,,
,,,,,,,"896,000.00",,,,,,,,,,,,
